,,0
Genre___Others,case_id,-0.0953317956966262
Country___Austria,Genre___Print,-0.09532213574349244
Genre___Print,Country___Austria,-0.09532213574349244
ranking,price_usd_prev_10_max,-0.09512897663131588
price_usd_prev_10_max,ranking,-0.09512897663131588
Genre___Others,edu_abroad,-0.09490611933313102
edu_abroad,Genre___Others,-0.09490611933313102
price_usd_prev_3_mean,elite_award_not_received,-0.0948575715473967
elite_award_not_received,price_usd_prev_3_mean,-0.0948575715473967
undergrad,age,-0.0948510337335346
age,undergrad,-0.0948510337335346
cnt_mean,Tier___3,-0.09472623236140207
Tier___3,cnt_mean,-0.09472623236140207
Tier___4,price_usd_prev_3_mean,-0.0945954225281988
price_usd_prev_3_mean,Tier___4,-0.0945954225281988
price_usd_prev_3_mean,Genre___Print,-0.09448073730355112
Genre___Print,price_usd_prev_3_mean,-0.09448073730355112
price_inch_prev_10_min,height,-0.0942504859540817
height,price_inch_prev_10_min,-0.0942504859540817
price_inch_prev_3_max,elite_award_not_received,-0.09381591196511162
elite_award_not_received,price_inch_prev_3_max,-0.09381591196511162
price_inch_prev_7_min,height,-0.09373304059180644
height,price_inch_prev_7_min,-0.09373304059180644
Country___USA,year,-0.09362630018434633
Continent___North_America,year,-0.09362630018434633
year,Country___USA,-0.09362630018434633
year,Continent___North_America,-0.09362630018434633
artwork_order,edu_both,-0.09357351235386839
edu_both,artwork_order,-0.09357351235386839
height,price_inch_prev_7_mean,-0.09316699115378452
price_inch_prev_7_mean,height,-0.09316699115378452
Country___Others,Genre___Print,-0.09305317020633036
Genre___Print,Country___Others,-0.09305317020633036
elite_award_received,edu_domestic,-0.09282986353677153
edu_domestic,elite_award_received,-0.09282986353677153
Tier___4,price_usd_prev_10_mean,-0.09258776842270082
price_usd_prev_10_mean,Tier___4,-0.09258776842270082
Tier___4,price_usd_prev_7_mean,-0.09224082856538725
price_usd_prev_7_mean,Tier___4,-0.09224082856538725
grad,fest_biennal,-0.09199013047059876
fest_biennal,grad,-0.09199013047059876
fest_biennal,elite_award_not_received,-0.09177046519715798
elite_award_not_received,fest_biennal,-0.09177046519715798
cnt_mean,Tier___4,-0.09173394704783756
Tier___4,cnt_mean,-0.09173394704783756
Continent___Europe,meanprice_year,-0.09156440664612611
meanprice_year,Continent___Europe,-0.09156440664612611
price_inch_prev_10_min,Tier___4,-0.09145795375262697
Tier___4,price_inch_prev_10_min,-0.09145795375262697
elite_award_not_received,price_inch_prev_3_min,-0.09140029443018377
price_inch_prev_3_min,elite_award_not_received,-0.09140029443018377
Tier___4,price_usd_prev_5_mean,-0.09138230094116266
price_usd_prev_5_mean,Tier___4,-0.09138230094116266
Country___France,Country___Others,-0.09130415167631814
Country___Others,Country___France,-0.09130415167631814
estimate_range_usd,Tier___3,-0.09066246636574114
Tier___3,estimate_range_usd,-0.09066246636574114
estimate_max_usd,Tier___3,-0.09056937598334847
Tier___3,estimate_max_usd,-0.09056937598334847
Genre___Photography,grad,-0.09042460933428924
grad,Genre___Photography,-0.09042460933428924
height,price_inch_prev_5_min,-0.09026592856033093
price_inch_prev_5_min,height,-0.09026592856033093
estimate_center_usd,Tier___3,-0.09017841327387115
Tier___3,estimate_center_usd,-0.09017841327387115
price_usd_prev_7_min,age,-0.08975931879641505
